Id,Time,Lat,Lng,Temperature,Humidity,Pm2.5,Pm10,Pm1,Co2,Co,Hcho,Tvoc
74DA3895C230,2018-07-13 11:00:20,24.1470,24.1470,34.12,77,39,49,28,0,0,0,0
74DA3895C232,2018-07-13 11:01:30,24.108269,24.108269,32.12,74,35,43,25,0,0,0,0
74DA3895C234,2018-07-13 11:05:10,24.243158,24.243158,30.25,100,55,70,39,0,0,0,0
74DA3895C236,2018-07-13 11:05:03,24.226339,24.226339,31.75,100,43,55,31,0,0,0,0
74DA3895C238,2018-07-13 11:04:44,24.093130,24.093130,30.62,75,36,44,26,0,0,0,0
74DA3895C23E,2018-07-13 11:04:52,24.110487,24.110487,33.5,100,47,59,35,0,0,0,0
74DA3895C240,2018-07-13 11:05:32,24.243574,24.243574,29.87,97,55,70,39,0,0,0,0
74DA3895C242,2018-07-13 11:05:10,24.106510,24.106510,33.62,100,48,60,38,0,0,0,0
74DA3895C244,2018-07-13 11:03:07,24.238539,24.238539,30.87,83,61,77,44,0,0,0,0
74DA3895C246,2018-07-13 11:03:09,24.228,24.228,31.12,100,45,57,32,0,0,0,0
74DA3895C248,2018-07-13 11:35:53,24.253,24.253,31.25,100,43,53,29,0,0,0,0
74DA3895C24A,2018-07-13 11:03:56,24.240788,24.240788,30.25,100,59,76,41,0,0,0,0
74DA3895C24C,2018-07-13 11:02:23,24.347961,24.347961,30.37,89,37,46,25,0,0,0,0
74DA3895C254,2018-07-13 11:00:31,24.350826,24.350826,29.87,100,42,52,29,0,0,0,0
74DA3895C256,2018-07-13 11:05:09,24.261503,24.261503,29.62,100,65,78,46,0,0,0,0
74DA3895C258,2018-07-13 11:05:35,24.292475,24.292475,30,75,44,55,31,0,0,0,0
74DA3895C25C,2018-07-13 11:03:48,24.250387,24.250387,32.12,100,31,38,21,0,0,0,0
74DA3895C260,2018-07-13 11:01:06,25.142,25.142,27.25,78,0,1,0,0,0,0,0
74DA3895C262,2018-07-13 11:02:59,24.264009,24.264009,27.12,67,28,30,20,0,0,0,0
74DA3895C264,2018-07-13 11:01:50,23.245489,23.245489,29.5,100,0,0,0,0,0,0,0
74DA3895C266,2018-07-13 11:03:21,23.319,23.319,29.25,100,42,54,28,0,0,0,0
74DA3895C268,2018-07-13 11:04:00,23.228760,23.228760,30.87,73,24,26,18,0,0,0,0
74DA3895C26E,2018-07-13 11:03:47,24.164661,24.164661,31.62,95,46,58,32,0,0,0,0
